"Emissions","type","year"
0.19,"NON-ROAD",2002
0.00464871378426323,"NON-ROAD",2002
9.23,"NON-ROAD",2002
0.02,"NON-ROAD",2002
6.97,"NON-ROAD",2002
23.54,"NON-ROAD",2002
0.21,"NON-ROAD",2002
0.000819003966171294,"NON-ROAD",2002
1.74993074324448e-05,"NON-ROAD",2002
0.01,"NON-ROAD",2005
0.0009783056,"NON-ROAD",2005
0.18,"NON-ROAD",2005
0.14,"NON-ROAD",2005
2.5,"NON-ROAD",2005
2.68,"NON-ROAD",2005
3.51,"NON-ROAD",2005
1.47,"NON-ROAD",2005
2.24,"NON-ROAD",2005
1.64,"NON-ROAD",2005
0.76,"NON-ROAD",2005
0.29,"NON-ROAD",2005
0.0005861898,"NON-ROAD",2005
0.19,"NON-ROAD",2005
1.4,"NON-ROAD",2005
0.0005122234,"NON-ROAD",2005
0.0080728407,"NON-ROAD",2005
0.04,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.05,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.06,"NON-ROAD",2005
0.0013772507,"NON-ROAD",2005
0.0011149085,"NON-ROAD",2005
0.0060235157,"NON-ROAD",2005
0.94,"NON-ROAD",2005
0.13,"NON-ROAD",2005
0.08,"NON-ROAD",2005
0.06,"NON-ROAD",2005
0.0054815914,"NON-ROAD",2005
0.0025023295,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.06,"NON-ROAD",2005
0.03,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.09,"NON-ROAD",2005
0.0069408401,"NON-ROAD",2005
0.0084194273,"NON-ROAD",2005
0.0072189384,"NON-ROAD",2005
1.34,"NON-ROAD",2005
0.09,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.34,"NON-ROAD",2005
0.07,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.73,"NON-ROAD",2005
0.25,"NON-ROAD",2005
0.11,"NON-ROAD",2005
0.18,"NON-ROAD",2005
0.42,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.0026035674,"NON-ROAD",2005
0.01,"NON-ROAD",2005
1.76,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.0041615147,"NON-ROAD",2005
0.0010000453,"NON-ROAD",2005
0.0083001321,"NON-ROAD",2005
0.0049440744,"NON-ROAD",2005
0.06,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.02,"NON-ROAD",2005
0.0002818185,"NON-ROAD",2005
0.0002788283,"NON-ROAD",2005
0.12,"NON-ROAD",2005
0.0001438932,"NON-ROAD",2005
7.83812e-05,"NON-ROAD",2005
0.0004158585,"NON-ROAD",2005
0.0005904125,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.0009819284,"NON-ROAD",2005
0.0014054561,"NON-ROAD",2005
0.05,"NON-ROAD",2005
0.0017169765,"NON-ROAD",2005
0.65,"NON-ROAD",2005
4,"NON-ROAD",2005
1.43,"NON-ROAD",2005
1.6,"NON-ROAD",2005
0.13,"NON-ROAD",2005
8.86,"NON-ROAD",2005
1.95,"NON-ROAD",2005
8.27784e-05,"NON-ROAD",2005
0.01,"NON-ROAD",2005
0.53,"NON-ROAD",2005
0.1,"NON-ROAD",2005
0.61,"NON-ROAD",2005
0.05,"NON-ROAD",2005
0.0021280069,"NON-ROAD",2005
5.23,"NON-ROAD",2005
1.26,"NON-ROAD",2005
2.89,"NON-ROAD",2005
3.17,"NON-ROAD",2005
0.14,"NON-ROAD",2005
0.12,"NON-ROAD",2005
0.05,"NON-ROAD",2005
40.03,"NON-ROAD",2005
0.65,"NON-ROAD",2005
107.12,"NON-ROAD",2005
2.74,"NON-ROAD",2005
1.1,"NON-ROAD",2005
0.05,"NON-ROAD",2005
0.21,"NON-ROAD",2005
0.0045723616,"NON-ROAD",2005
9.23,"NON-ROAD",2005
0.02,"NON-ROAD",2005
6.97,"NON-ROAD",2005
23.54,"NON-ROAD",2005
0.2,"NON-ROAD",2005
0.000756666,"NON-ROAD",2005
1.86445e-05,"NON-ROAD",2005
3.07569,"NON-ROAD",2008
2.36223,"NON-ROAD",2008
2.8363,"NON-ROAD",2008
2.312,"NON-ROAD",2008
0.779108,"NON-ROAD",2008
0.00645307,"NON-ROAD",2008
0.00108083,"NON-ROAD",2008
3.45694,"NON-ROAD",2008
0.178537,"NON-ROAD",2008
0.00693357,"NON-ROAD",2008
0.597507,"NON-ROAD",2008
0.000321658,"NON-ROAD",2008
0.0411663,"NON-ROAD",2008
0.0155772,"NON-ROAD",2008
0.0089871,"NON-ROAD",2008
0.0200645,"NON-ROAD",2008
0.500588,"NON-ROAD",2008
0.179868,"NON-ROAD",2008
0.811748,"NON-ROAD",2008
0.000325363,"NON-ROAD",2008
1.91003,"NON-ROAD",2008
0.387505,"NON-ROAD",2008
0.000848372,"NON-ROAD",2008
