"Emissions","type","year"
0.0058187723,"ON-ROAD",2002
0.002185234,"ON-ROAD",2002
0.0066259081,"ON-ROAD",2002
2.95,"ON-ROAD",2002
1.11,"ON-ROAD",2002
3.19,"ON-ROAD",2002
0.41,"ON-ROAD",2002
0.15,"ON-ROAD",2002
0.45,"ON-ROAD",2002
3.53,"ON-ROAD",2002
1.32,"ON-ROAD",2002
4.23,"ON-ROAD",2002
2.2,"ON-ROAD",2002
0.82,"ON-ROAD",2002
2.64,"ON-ROAD",2002
0.65,"ON-ROAD",2002
0.24,"ON-ROAD",2002
0.78,"ON-ROAD",2002
1.05,"ON-ROAD",2002
0.39,"ON-ROAD",2002
1.39,"ON-ROAD",2002
0.007416567,"ON-ROAD",2002
0.0027785913,"ON-ROAD",2002
0.0095158695,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.0041847819,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.0037984154,"ON-ROAD",2002
0.0014230633,"ON-ROAD",2002
0.0050188399,"ON-ROAD",2002
1.92,"ON-ROAD",2002
0.72,"ON-ROAD",2002
2.48,"ON-ROAD",2002
0.27,"ON-ROAD",2002
0.1,"ON-ROAD",2002
0.35,"ON-ROAD",2002
2.3,"ON-ROAD",2002
0.86,"ON-ROAD",2002
3.13,"ON-ROAD",2002
1.44,"ON-ROAD",2002
0.53,"ON-ROAD",2002
1.95,"ON-ROAD",2002
0.42,"ON-ROAD",2002
0.16,"ON-ROAD",2002
0.58,"ON-ROAD",2002
0.68,"ON-ROAD",2002
0.25,"ON-ROAD",2002
0.98,"ON-ROAD",2002
0.0025547758,"ON-ROAD",2002
0.0009580249,"ON-ROAD",2002
0.0041587997,"ON-ROAD",2002
0.0038504704,"ON-ROAD",2002
0.0014439022,"ON-ROAD",2002
0.0063773859,"ON-ROAD",2002
0.0013085064,"ON-ROAD",2002
0.0004906817,"ON-ROAD",2002
0.0021672288,"ON-ROAD",2002
0.66,"ON-ROAD",2002
0.24,"ON-ROAD",2002
1.08,"ON-ROAD",2002
0.09,"ON-ROAD",2002
0.03,"ON-ROAD",2002
0.15,"ON-ROAD",2002
0.79,"ON-ROAD",2002
0.29,"ON-ROAD",2002
1.33,"ON-ROAD",2002
0.49,"ON-ROAD",2002
0.18,"ON-ROAD",2002
0.83,"ON-ROAD",2002
0.14,"ON-ROAD",2002
0.05,"ON-ROAD",2002
0.24,"ON-ROAD",2002
0.23,"ON-ROAD",2002
0.08,"ON-ROAD",2002
0.41,"ON-ROAD",2002
0.0005447852,"ON-ROAD",2002
0.0002238227,"ON-ROAD",2002
0.0063873518,"ON-ROAD",2002
0.0007506884,"ON-ROAD",2002
0.0003083914,"ON-ROAD",2002
0.0088013468,"ON-ROAD",2002
0.0002251183,"ON-ROAD",2002
9.24501e-05,"ON-ROAD",2002
0.0026393421,"ON-ROAD",2002
0.11,"ON-ROAD",2002
0.04,"ON-ROAD",2002
1.29,"ON-ROAD",2002
0.0082553677,"ON-ROAD",2002
0.0033916917,"ON-ROAD",2002
0.09,"ON-ROAD",2002
0.1,"ON-ROAD",2002
0.04,"ON-ROAD",2002
1.27,"ON-ROAD",2002
0.06,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.71,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.0086587332,"ON-ROAD",2002
0.24,"ON-ROAD",2002
0.04,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.55,"ON-ROAD",2002
0.0002385814,"ON-ROAD",2002
4.48407e-05,"ON-ROAD",2002
0.0006558844,"ON-ROAD",2002
0.000128947,"ON-ROAD",2002
2.42352e-05,"ON-ROAD",2002
0.000357247,"ON-ROAD",2002
0.000128947,"ON-ROAD",2002
2.42352e-05,"ON-ROAD",2002
0.000357247,"ON-ROAD",2002
0.05,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.15,"ON-ROAD",2002
0.0014615223,"ON-ROAD",2002
0.0002747518,"ON-ROAD",2002
0.0040184911,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.0035031646,"ON-ROAD",2002
0.05,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.0019071438,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.0060180689,"ON-ROAD",2002
0.0011313564,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.0068348068,"ON-ROAD",2002
0.0012848976,"ON-ROAD",2002
0.01,"ON-ROAD",2002
3.00316e-05,"ON-ROAD",2002
1.12718e-05,"ON-ROAD",2002
0.0010904539,"ON-ROAD",2002
4.29022e-05,"ON-ROAD",2002
1.61026e-05,"ON-ROAD",2002
0.0015577915,"ON-ROAD",2002
1.50452e-05,"ON-ROAD",2002
5.6469494e-06,"ON-ROAD",2002
0.000546294,"ON-ROAD",2002
