"Emissions","type","year"
0.28,"ON-ROAD",2005
0.47,"ON-ROAD",2005
14.74,"ON-ROAD",2005
0.02,"ON-ROAD",2005
0.03,"ON-ROAD",2005
1.2,"ON-ROAD",2005
0.19,"ON-ROAD",2005
0.33,"ON-ROAD",2005
10.28,"ON-ROAD",2005
0.1,"ON-ROAD",2005
0.17,"ON-ROAD",2005
5.5,"ON-ROAD",2005
0.03,"ON-ROAD",2005
0.05,"ON-ROAD",2005
1.62,"ON-ROAD",2005
0.02,"ON-ROAD",2005
0.03,"ON-ROAD",2005
1.17,"ON-ROAD",2005
7.39683032406887e-05,"ON-ROAD",2005
4.17990013374929e-05,"ON-ROAD",2005
0.00704670778782,"ON-ROAD",2005
7.04559415680689e-05,"ON-ROAD",2005
3.97952837829487e-05,"ON-ROAD",2005
0.00679406116097,"ON-ROAD",2005
5.81196509301644e-05,"ON-ROAD",2005
3.28397982229943e-05,"ON-ROAD",2005
0.00555088094438,"ON-ROAD",2005
0.04,"ON-ROAD",2005
0.02,"ON-ROAD",2005
4.82,"ON-ROAD",2005
0.0038334683616293,"ON-ROAD",2005
0.00216061882383654,"ON-ROAD",2005
0.38,"ON-ROAD",2005
0.05,"ON-ROAD",2005
0.03,"ON-ROAD",2005
5.64,"ON-ROAD",2005
0.03,"ON-ROAD",2005
0.01,"ON-ROAD",2005
3.3,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.00701503350712,"ON-ROAD",2005
1.23,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.0096938834158,"ON-ROAD",2005
1.67,"ON-ROAD",2005
0.0137892,"ON-ROAD",2008
0.414028,"ON-ROAD",2008
0.148817,"ON-ROAD",2008
0.00126115,"ON-ROAD",2008
2.98886,"ON-ROAD",2008
0.742692,"ON-ROAD",2008
0.0125277,"ON-ROAD",2008
0.00430875,"ON-ROAD",2008
0.00133844,"ON-ROAD",2008
7.19266e-05,"ON-ROAD",2008
0.607505,"ON-ROAD",2008
0.0501417,"ON-ROAD",2008
0.00787263,"ON-ROAD",2008
0.733697,"ON-ROAD",2008
0.0144085,"ON-ROAD",2008
2.37877e-05,"ON-ROAD",2008
0.0233622,"ON-ROAD",2008
0.021742,"ON-ROAD",2008
1.53479e-05,"ON-ROAD",2008
0.30316,"ON-ROAD",2008
0.00280435,"ON-ROAD",2008
0.000578253,"ON-ROAD",2008
0.187809,"ON-ROAD",2008
0.0355012,"ON-ROAD",2008
0.0886584,"ON-ROAD",2008
0.000254731,"ON-ROAD",2008
0.820354,"ON-ROAD",2008
0.0500087,"ON-ROAD",2008
0.036138,"ON-ROAD",2008
0.675915,"ON-ROAD",2008
0.00562571,"ON-ROAD",2008
0.403061,"ON-ROAD",2008
1.88701,"ON-ROAD",2008
0.000398836,"ON-ROAD",2008
1.57635,"ON-ROAD",2008
0.00699226,"ON-ROAD",2008
0.0232435,"ON-ROAD",2008
0.000298166,"ON-ROAD",2008
0.0347238,"ON-ROAD",2008
0.0514461,"ON-ROAD",2008
3.21767e-05,"ON-ROAD",2008
0.000313755,"ON-ROAD",2008
0.172223,"ON-ROAD",2008
0.0806081,"ON-ROAD",2008
1.17221,"ON-ROAD",2008
8.06651e-07,"ON-ROAD",2008
0.00132682,"ON-ROAD",2008
0.778241,"ON-ROAD",2008
0.193517,"ON-ROAD",2008
0.182651,"ON-ROAD",2008
0.311522,"ON-ROAD",2008
0.28503,"ON-ROAD",2008
0.00127458,"ON-ROAD",2008
1.39512,"ON-ROAD",2008
0.11214,"ON-ROAD",2008
0.08063,"ON-ROAD",2008
0.00407388,"ON-ROAD",2008
4.09783e-05,"ON-ROAD",2008
6.81165,"ON-ROAD",2008
0.261984,"ON-ROAD",2008
0.00315543,"ON-ROAD",2008
0.339965,"ON-ROAD",2008
9.69693,"ON-ROAD",2008
0.789868,"ON-ROAD",2008
0.0316408,"ON-ROAD",2008
0.092582,"ON-ROAD",2008
0.0691685,"ON-ROAD",2008
0.0272161,"ON-ROAD",2008
0.0193194,"ON-ROAD",2008
0.0287491,"ON-ROAD",2008
0.00677434,"ON-ROAD",2008
0.00114129,"ON-ROAD",2008
0.286812,"ON-ROAD",2008
0.00396935,"ON-ROAD",2008
2.82461e-05,"ON-ROAD",2008
0.088921,"ON-ROAD",2008
0.0162223,"ON-ROAD",2008
0.0806734,"ON-ROAD",2008
1.14159,"ON-ROAD",2008
0.000231082,"ON-ROAD",2008
0.00471359,"ON-ROAD",2008
0.00685699,"ON-ROAD",2008
0.0155458,"ON-ROAD",2008
0.000834846,"ON-ROAD",2008
0.102059,"ON-ROAD",2008
1.69532,"ON-ROAD",2008
0.419124,"ON-ROAD",2008
0.00779354,"ON-ROAD",2008
0.13813,"ON-ROAD",2008
0.000419485,"ON-ROAD",2008
0.409164,"ON-ROAD",2008
0.830592,"ON-ROAD",2008
4.04511e-05,"ON-ROAD",2008
0.439363,"ON-ROAD",2008
0.0348982,"ON-ROAD",2008
0.000594206,"ON-ROAD",2008
0.00744762,"ON-ROAD",2008
0.324528,"ON-ROAD",2008
4.21363e-05,"ON-ROAD",2008
0.000885849,"ON-ROAD",2008
1.33182,"ON-ROAD",2008
0.513235,"ON-ROAD",2008
0.00707226,"ON-ROAD",2008
0.0012721,"ON-ROAD",2008
0.201464,"ON-ROAD",2008
0.000166256,"ON-ROAD",2008
3.19042,"ON-ROAD",2008
0.00125795,"ON-ROAD",2008
0.00724381,"ON-ROAD",2008
0.014025,"ON-ROAD",2008
5.59034e-05,"ON-ROAD",2008
0.102681,"ON-ROAD",2008
0.000389944,"ON-ROAD",2008
0.041797,"ON-ROAD",2008
0.0029511,"ON-ROAD",2008
0.199125,"ON-ROAD",2008
0.0217874,"ON-ROAD",2008
0.139964,"ON-ROAD",2008
0.00156965,"ON-ROAD",2008
0.00683876,"ON-ROAD",2008
1.20616e-05,"ON-ROAD",2008
0.0206617,"ON-ROAD",2008
0.267575,"ON-ROAD",2008
0.00419092,"ON-ROAD",2008
0.000619955,"ON-ROAD",2008
0.27696,"ON-ROAD",2008
0.160477,"ON-ROAD",2008
0.00657162,"ON-ROAD",2008
0.0157819,"ON-ROAD",2008
0.346587,"ON-ROAD",2008
2.30741,"ON-ROAD",2008
0.28663,"ON-ROAD",2008
0.00239655,"ON-ROAD",2008
0.039423,"ON-ROAD",2008
0.00888297,"ON-ROAD",2008
0.00341995,"ON-ROAD",2008
0.0126585,"ON-ROAD",2008
0.00127937,"ON-ROAD",2008
0.315185,"ON-ROAD",2008
0.000254865,"ON-ROAD",2008
5.59026e-05,"ON-ROAD",2008
0.00243242,"ON-ROAD",2008
0.166075,"ON-ROAD",2008
0.00913116,"ON-ROAD",2008
0.000594509,"ON-ROAD",2008
0.39704,"ON-ROAD",2008
0.0416595,"ON-ROAD",2008
3.21767e-05,"ON-ROAD",2008
0.578781,"ON-ROAD",2008
1.20616e-05,"ON-ROAD",2008
0.0897336,"ON-ROAD",2008
0.00154274,"ON-ROAD",2008
0.00871298,"ON-ROAD",2008
0.00317588,"ON-ROAD",2008
0.0846127,"ON-ROAD",2008
0.0641888,"ON-ROAD",2008
0.0624595,"ON-ROAD",2008
0.141419,"ON-ROAD",2008
0.341928,"ON-ROAD",2008
0.0177946,"ON-ROAD",2008
0.00416992,"ON-ROAD",2008
4.06396e-05,"ON-ROAD",2008
1.69981e-05,"ON-ROAD",2008
3.023e-05,"ON-ROAD",2008
0.866642,"ON-ROAD",2008
0.00303868,"ON-ROAD",2008
0.000793366,"ON-ROAD",2008
0.62115,"ON-ROAD",2008
0.0363888,"ON-ROAD",2008
0.00687727,"ON-ROAD",2008
0.0622881,"ON-ROAD",2008
0.425011,"ON-ROAD",2008
0.132864,"ON-ROAD",2008
0.00336889,"ON-ROAD",2008
0.0387473,"ON-ROAD",2008
0.00177428,"ON-ROAD",2008
1.6194,"ON-ROAD",2008
0.0256958,"ON-ROAD",2008
2.14632e-06,"ON-ROAD",2008
0.000749028,"ON-ROAD",2008
0.00240174,"ON-ROAD",2008
0.0543915,"ON-ROAD",2008
0.0351269,"ON-ROAD",2008
0.00748115,"ON-ROAD",2008
0.360509,"ON-ROAD",2008
0.377301,"ON-ROAD",2008
0.707285,"ON-ROAD",2008
0.155505,"ON-ROAD",2008
0.000388823,"ON-ROAD",2008
0.00899481,"ON-ROAD",2008
0.0633981,"ON-ROAD",2008
0.146701,"ON-ROAD",2008
0.00187386,"ON-ROAD",2008
3.45069,"ON-ROAD",2008
0.00156312,"ON-ROAD",2008
0.00340417,"ON-ROAD",2008
0.713419,"ON-ROAD",2008
0.000630612,"ON-ROAD",2008
0.065547,"ON-ROAD",2008
0.00113884,"ON-ROAD",2008
8.06652e-07,"ON-ROAD",2008
0.00380915,"ON-ROAD",2008
0.0859027,"ON-ROAD",2008
0.956349,"ON-ROAD",2008
0.0200476,"ON-ROAD",2008
0.00303216,"ON-ROAD",2008
0.0015397,"ON-ROAD",2008
0.546694,"ON-ROAD",2008
0.00246471,"ON-ROAD",2008
0.00394734,"ON-ROAD",2008
0.172833,"ON-ROAD",2008
2.14632e-06,"ON-ROAD",2008
0.278949,"ON-ROAD",2008
0.761417,"ON-ROAD",2008
0.00304313,"ON-ROAD",2008
0.0910945,"ON-ROAD",2008
0.78155,"ON-ROAD",2008
1.6998e-05,"ON-ROAD",2008
0.0192684,"ON-ROAD",2008
0.00874289,"ON-ROAD",2008
1.6208,"ON-ROAD",2008
0.103374,"ON-ROAD",2008
5.00369e-05,"ON-ROAD",2008
0.00186511,"ON-ROAD",2008
2.50075,"ON-ROAD",2008
0.000679537,"ON-ROAD",2008
0.000398828,"ON-ROAD",2008
0.018308,"ON-ROAD",2008
0.00782944,"ON-ROAD",2008
0.0509061,"ON-ROAD",2008
0.000419506,"ON-ROAD",2008
0.000679178,"ON-ROAD",2008
0.000153593,"ON-ROAD",2008
0.293543,"ON-ROAD",2008
0.00775357,"ON-ROAD",2008
1.85667,"ON-ROAD",2008
0.979223,"ON-ROAD",2008
0.013535,"ON-ROAD",2008
1.7211,"ON-ROAD",2008
1.63042,"ON-ROAD",2008
0.032132,"ON-ROAD",2008
0.000153575,"ON-ROAD",2008
0.070935,"ON-ROAD",2008
0.455771,"ON-ROAD",2008
0.0153034,"ON-ROAD",2008
6.11184e-05,"ON-ROAD",2008
1.56122e-05,"ON-ROAD",2008
6.1147e-05,"ON-ROAD",2008
0.00254864,"ON-ROAD",2008
0.174764,"ON-ROAD",2008
0.0977231,"ON-ROAD",2008
0.00887563,"ON-ROAD",2008
0.0567243,"ON-ROAD",2008
0.0975755,"ON-ROAD",2008
2.3054,"ON-ROAD",2008
0.000577111,"ON-ROAD",2008
0.00712173,"ON-ROAD",2008
0.000442375,"ON-ROAD",2008
0.00482924,"ON-ROAD",2008
0.210333,"ON-ROAD",2008
3.71447,"ON-ROAD",2008
3.023e-05,"ON-ROAD",2008
0.00149177,"ON-ROAD",2008
0.48799,"ON-ROAD",2008
0.00139969,"ON-ROAD",2008
0.0157352,"ON-ROAD",2008
1.19829,"ON-ROAD",2008
0.000926296,"ON-ROAD",2008
0.00386703,"ON-ROAD",2008
4.1684e-05,"ON-ROAD",2008
0.0374145,"ON-ROAD",2008
0.0120449,"ON-ROAD",2008
0.000230418,"ON-ROAD",2008
0.515961,"ON-ROAD",2008
0.483988,"ON-ROAD",2008
7.22617e-05,"ON-ROAD",2008
0.136072,"ON-ROAD",2008
0.0141523,"ON-ROAD",2008
0.00781482,"ON-ROAD",2008
0.0788369,"ON-ROAD",2008
0.597611,"ON-ROAD",2008
0.0115212,"ON-ROAD",2008
